nSeq;I1; I2; O1; O2;A3
0;0;0;0;0;264
1;0;0;0;0;264
2;0;0;0;0;264
3;0;0;0;0;264
4;0;0;0;0;264
5;0;0;0;0;264
6;0;0;0;0;264
7;0;0;0;0;264
8;0;0;0;0;264
9;0;0;0;0;264
10;0;0;0;0;264
11;0;0;0;0;264
12;0;0;0;0;264
13;0;0;0;0;264
14;0;0;0;0;264
15;0;0;0;0;264
0;0;0;0;0;264
1;0;0;0;0;264
2;0;0;0;0;264
3;0;0;0;0;264
4;0;0;0;0;264
5;0;0;0;0;264
6;0;0;0;0;264
7;0;0;0;0;264
8;0;0;0;0;264
9;0;0;0;0;264
10;0;0;0;0;264
11;0;0;0;0;264
12;0;0;0;0;264
13;0;0;0;0;264
14;0;0;0;0;264
15;0;0;0;0;264
0;0;0;0;0;264
1;0;0;0;0;264
2;0;0;0;0;264
3;0;0;0;0;264
4;0;0;0;0;264
5;0;0;0;0;264
6;0;0;0;0;264
7;0;0;0;0;264
8;0;0;0;0;264
9;0;0;0;0;264
10;0;0;0;0;264
11;0;0;0;0;264
12;0;0;0;0;264
13;0;0;0;0;264
14;0;0;0;0;264
15;0;0;0;0;264
0;0;0;0;0;264
1;0;0;0;0;264
2;0;0;0;0;264
3;0;0;0;0;264
4;0;0;0;0;264
5;0;0;0;0;264
6;0;0;0;0;264
7;0;0;0;0;264
8;0;0;0;0;264
9;0;0;0;0;264
10;0;0;0;0;264
11;0;0;0;0;264
12;0;0;0;0;264
13;0;0;0;0;264
14;0;0;0;0;264
15;0;0;0;0;264
0;0;0;0;0;264
1;0;0;0;0;264
2;0;0;0;0;264
3;0;0;0;0;264
4;0;0;0;0;264
5;0;0;0;0;264
6;0;0;0;0;264
7;0;0;0;0;264
8;0;0;0;0;264
9;0;0;0;0;264
10;0;0;0;0;264
11;0;0;0;0;264
12;0;0;0;0;264
13;0;0;0;0;264
14;0;0;0;0;264
15;0;0;0;0;264
0;0;0;0;0;264
1;0;0;0;0;264
2;0;0;0;0;264
3;0;0;0;0;264
4;0;0;0;0;264
5;0;0;0;0;264
6;0;0;0;0;264
7;0;0;0;0;264
8;0;0;0;0;264
9;0;0;0;0;264
10;0;0;0;0;264
11;0;0;0;0;264
12;0;0;0;0;264
13;0;0;0;0;264
14;0;0;0;0;264
15;0;0;0;0;264
0;0;0;0;0;264
1;0;0;0;0;264
2;0;0;0;0;264
3;0;0;0;0;264
4;0;0;0;0;264
5;0;0;0;0;264
6;0;0;0;0;264
7;0;0;0;0;264
8;0;0;0;0;264
9;0;0;0;0;264
10;0;0;0;0;264
11;0;0;0;0;264
12;0;0;0;0;264
13;0;0;0;0;264
14;0;0;0;0;264
15;0;0;0;0;264
0;0;0;0;0;264
1;0;0;0;0;264
2;0;0;0;0;264
3;0;0;0;0;264
4;0;0;0;0;264
5;0;0;0;0;264
6;0;0;0;0;264
7;0;0;0;0;264
8;0;0;0;0;264
9;0;0;0;0;264
10;0;0;0;0;264
11;0;0;0;0;264
12;0;0;0;0;264
13;0;0;0;0;264
14;0;0;0;0;264
15;0;0;0;0;264
0;0;0;0;0;264
1;0;0;0;0;264
2;0;0;0;0;264
3;0;0;0;0;264
4;0;0;0;0;264
5;0;0;0;0;264
6;0;0;0;0;264
7;0;0;0;0;264
8;0;0;0;0;264
9;0;0;0;0;264
10;0;0;0;0;264
11;0;0;0;0;264
12;0;0;0;0;264
13;0;0;0;0;264
14;0;0;0;0;264
15;0;0;0;0;264
0;0;0;0;0;264
1;0;0;0;0;264
2;0;0;0;0;264
3;0;0;0;0;264
4;0;0;0;0;264
5;0;0;0;0;264
6;0;0;0;0;264
7;0;0;0;0;264
8;0;0;0;0;264
9;0;0;0;0;264
10;0;0;0;0;264
11;0;0;0;0;264
12;0;0;0;0;264
13;0;0;0;0;264
14;0;0;0;0;264
15;0;0;0;0;264
0;0;0;0;0;264
1;0;0;0;0;264
2;0;0;0;0;264
3;0;0;0;0;264
4;0;0;0;0;264
5;0;0;0;0;264
6;0;0;0;0;264
7;0;0;0;0;264
8;0;0;0;0;264
9;0;0;0;0;264
10;0;0;0;0;264
11;0;0;0;0;264
12;0;0;0;0;264
13;0;0;0;0;264
14;0;0;0;0;264
15;0;0;0;0;264
0;0;0;0;0;264
1;0;0;0;0;264
2;0;0;0;0;264
3;0;0;0;0;264
4;0;0;0;0;264
5;0;0;0;0;264
6;0;0;0;0;264
7;0;0;0;0;264
8;0;0;0;0;264
9;0;0;0;0;264
10;0;0;0;0;264
11;0;0;0;0;264
12;0;0;0;0;264
13;0;0;0;0;264
14;0;0;0;0;264
15;0;0;0;0;264
0;0;0;0;0;264
1;0;0;0;0;264
2;0;0;0;0;264
3;0;0;0;0;264
4;0;0;0;0;264
5;0;0;0;0;264
6;0;0;0;0;264
7;0;0;0;0;264
8;0;0;0;0;264
9;0;0;0;0;264
10;0;0;0;0;264
11;0;0;0;0;264
12;0;0;0;0;264
13;0;0;0;0;264
14;0;0;0;0;264
15;0;0;0;0;264
0;0;0;0;0;264
1;0;0;0;0;264
2;0;0;0;0;264
3;0;0;0;0;264
4;0;0;0;0;264
5;0;0;0;0;264
6;0;0;0;0;264
7;0;0;0;0;264
8;0;0;0;0;264
9;0;0;0;0;264
10;0;0;0;0;264
11;0;0;0;0;264
12;0;0;0;0;264
13;0;0;0;0;264
14;0;0;0;0;264
15;0;0;0;0;264
0;0;0;0;0;264
1;0;0;0;0;264
2;0;0;0;0;264
3;0;0;0;0;264
4;0;0;0;0;264
5;0;0;0;0;264
6;0;0;0;0;264
7;0;0;0;0;264
8;0;0;0;0;264
9;0;0;0;0;264
10;0;0;0;0;265
11;0;0;0;0;264
12;0;0;0;0;264
13;0;0;0;0;264
14;0;0;0;0;264
15;0;0;0;0;264
0;0;0;0;0;264
1;0;0;0;0;264
2;0;0;0;0;264
3;0;0;0;0;264
4;0;0;0;0;264
5;0;0;0;0;264
6;0;0;0;0;264
7;0;0;0;0;264
8;0;0;0;0;264
9;0;0;0;0;264
10;0;0;0;0;264
11;0;0;0;0;264
12;0;0;0;0;264
13;0;0;0;0;264
14;0;0;0;0;265
15;0;0;0;0;264
0;0;0;0;0;264
1;0;0;0;0;264
2;0;0;0;0;264
3;0;0;0;0;264
4;0;0;0;0;264
5;0;0;0;0;264
6;0;0;0;0;264
7;0;0;0;0;264
8;0;0;0;0;265
9;0;0;0;0;264
10;0;0;0;0;264
11;0;0;0;0;264
12;0;0;0;0;264
13;0;0;0;0;264
14;0;0;0;0;264
15;0;0;0;0;264
0;0;0;0;0;264
1;0;0;0;0;264
2;0;0;0;0;265
3;0;0;0;0;265
4;0;0;0;0;264
5;0;0;0;0;265
6;0;0;0;0;265
7;0;0;0;0;265
8;0;0;0;0;265
9;0;0;0;0;264
10;0;0;0;0;265
11;0;0;0;0;264
12;0;0;0;0;265
13;0;0;0;0;265
14;0;0;0;0;264
15;0;0;0;0;265
0;0;0;0;0;264
1;0;0;0;0;265
2;0;0;0;0;265
3;0;0;0;0;265
4;0;0;0;0;265
5;0;0;0;0;265
6;0;0;0;0;265
7;0;0;0;0;265
8;0;0;0;0;265
9;0;0;0;0;265
10;0;0;0;0;265
11;0;0;0;0;265
12;0;0;0;0;265
13;0;0;0;0;265
14;0;0;0;0;265
15;0;0;0;0;265
0;0;0;0;0;265
1;0;0;0;0;265
2;0;0;0;0;265
3;0;0;0;0;265
4;0;0;0;0;265
5;0;0;0;0;265
6;0;0;0;0;265
7;0;0;0;0;265
8;0;0;0;0;265
9;0;0;0;0;265
10;0;0;0;0;265
11;0;0;0;0;265
12;0;0;0;0;265
13;0;0;0;0;265
14;0;0;0;0;265
15;0;0;0;0;265
0;0;0;0;0;265
1;0;0;0;0;265
2;0;0;0;0;265
3;0;0;0;0;265
4;0;0;0;0;265
5;0;0;0;0;265
6;0;0;0;0;265
7;0;0;0;0;265
8;0;0;0;0;265
9;0;0;0;0;265
10;0;0;0;0;265
11;0;0;0;0;265
12;0;0;0;0;265
13;0;0;0;0;265
14;0;0;0;0;265
15;0;0;0;0;265
0;0;0;0;0;265
1;0;0;0;0;265
2;0;0;0;0;265
3;0;0;0;0;265
4;0;0;0;0;265
5;0;0;0;0;265
6;0;0;0;0;265
7;0;0;0;0;265
8;0;0;0;0;265
9;0;0;0;0;265
10;0;0;0;0;265
11;0;0;0;0;265
12;0;0;0;0;265
13;0;0;0;0;265
14;0;0;0;0;265
15;0;0;0;0;265
0;0;0;0;0;265
1;0;0;0;0;265
2;0;0;0;0;265
3;0;0;0;0;265
4;0;0;0;0;265
5;0;0;0;0;265
6;0;0;0;0;265
7;0;0;0;0;265
8;0;0;0;0;265
9;0;0;0;0;265
10;0;0;0;0;265
11;0;0;0;0;265
12;0;0;0;0;265
13;0;0;0;0;265
14;0;0;0;0;265
15;0;0;0;0;265
0;0;0;0;0;265
1;0;0;0;0;265
2;0;0;0;0;265
3;0;0;0;0;265
4;0;0;0;0;265
5;0;0;0;0;265
6;0;0;0;0;265
7;0;0;0;0;265
8;0;0;0;0;265
9;0;0;0;0;265
10;0;0;0;0;265
11;0;0;0;0;265
12;0;0;0;0;265
13;0;0;0;0;265
14;0;0;0;0;265
15;0;0;0;0;265
0;0;0;0;0;265
1;0;0;0;0;265
2;0;0;0;0;265
3;0;0;0;0;265
4;0;0;0;0;265
5;0;0;0;0;265
6;0;0;0;0;265
7;0;0;0;0;265
8;0;0;0;0;265
9;0;0;0;0;265
10;0;0;0;0;265
11;0;0;0;0;265
12;0;0;0;0;265
13;0;0;0;0;265
14;0;0;0;0;265
15;0;0;0;0;265
0;0;0;0;0;265
1;0;0;0;0;265
2;0;0;0;0;265
3;0;0;0;0;265
4;0;0;0;0;265
5;0;0;0;0;265
6;0;0;0;0;265
7;0;0;0;0;265
8;0;0;0;0;265
9;0;0;0;0;265
10;0;0;0;0;265
11;0;0;0;0;265
12;0;0;0;0;266
13;0;0;0;0;265
14;0;0;0;0;266
15;0;0;0;0;265
0;0;0;0;0;265
1;0;0;0;0;266
2;0;0;0;0;266
3;0;0;0;0;266
4;0;0;0;0;265
5;0;0;0;0;265
6;0;0;0;0;266
7;0;0;0;0;265
8;0;0;0;0;266
9;0;0;0;0;265
10;0;0;0;0;265
11;0;0;0;0;265
12;0;0;0;0;265
13;0;0;0;0;266
14;0;0;0;0;266
15;0;0;0;0;266
0;0;0;0;0;266
1;0;0;0;0;266
2;0;0;0;0;266
3;0;0;0;0;266
4;0;0;0;0;266
5;0;0;0;0;266
6;0;0;0;0;266
7;0;0;0;0;266
8;0;0;0;0;266
9;0;0;0;0;266
10;0;0;0;0;266
11;0;0;0;0;266
12;0;0;0;0;266
13;0;0;0;0;266
14;0;0;0;0;266
15;0;0;0;0;266
0;0;0;0;0;266
1;0;0;0;0;266
2;0;0;0;0;266
3;0;0;0;0;266
4;0;0;0;0;266
5;0;0;0;0;266
6;0;0;0;0;266
7;0;0;0;0;266
8;0;0;0;0;266
9;0;0;0;0;266
10;0;0;0;0;266
11;0;0;0;0;266
12;0;0;0;0;266
13;0;0;0;0;266
14;0;0;0;0;266
15;0;0;0;0;266
0;0;0;0;0;266
1;0;0;0;0;266
2;0;0;0;0;266
3;0;0;0;0;266
4;0;0;0;0;266
5;0;0;0;0;266
6;0;0;0;0;266
7;0;0;0;0;266
8;0;0;0;0;266
9;0;0;0;0;266
10;0;0;0;0;267
11;0;0;0;0;266
12;0;0;0;0;266
13;0;0;0;0;266
14;0;0;0;0;266
15;0;0;0;0;266
0;0;0;0;0;266
1;0;0;0;0;266
2;0;0;0;0;266
3;0;0;0;0;266
4;0;0;0;0;266
5;0;0;0;0;266
6;0;0;0;0;266
7;0;0;0;0;266
8;0;0;0;0;266
9;0;0;0;0;266
10;0;0;0;0;267
11;0;0;0;0;266
12;0;0;0;0;267
13;0;0;0;0;266
14;0;0;0;0;267
15;0;0;0;0;266
0;0;0;0;0;266
1;0;0;0;0;267
2;0;0;0;0;267
3;0;0;0;0;267
4;0;0;0;0;267
5;0;0;0;0;266
6;0;0;0;0;267
7;0;0;0;0;267
8;0;0;0;0;267
9;0;0;0;0;266
10;0;0;0;0;267
11;0;0;0;0;267
12;0;0;0;0;267
13;0;0;0;0;267
14;0;0;0;0;267
15;0;0;0;0;267
0;0;0;0;0;267
1;0;0;0;0;267
2;0;0;0;0;267
3;0;0;0;0;267
4;0;0;0;0;267
5;0;0;0;0;267
6;0;0;0;0;267
7;0;0;0;0;267
8;0;0;0;0;267
9;0;0;0;0;267
10;0;0;0;0;267
11;0;0;0;0;267
12;0;0;0;0;267
13;0;0;0;0;267
14;0;0;0;0;267
15;0;0;0;0;267
0;0;0;0;0;267
1;0;0;0;0;267
2;0;0;0;0;267
3;0;0;0;0;267
4;0;0;0;0;267
5;0;0;0;0;267
6;0;0;0;0;267
7;0;0;0;0;267
8;0;0;0;0;267
9;0;0;0;0;267
10;0;0;0;0;267
11;0;0;0;0;267
12;0;0;0;0;267
13;0;0;0;0;267
14;0;0;0;0;267
15;0;0;0;0;267
0;0;0;0;0;267
1;0;0;0;0;267
2;0;0;0;0;267
3;0;0;0;0;267
4;0;0;0;0;267
5;0;0;0;0;267
6;0;0;0;0;267
7;0;0;0;0;267
8;0;0;0;0;267
9;0;0;0;0;267
10;0;0;0;0;267
11;0;0;0;0;267
