nSeq,I1, I2, O1, O2,A3,A3_filtrado,A3_normalizado
0,0,0,0,0,264,264,-1.6953943063298023
1,0,0,0,0,264,264,-1.6953943063298023
2,0,0,0,0,264,264,-1.6953943063298023
3,0,0,0,0,264,264,-1.6953943063298023
4,0,0,0,0,264,264,-1.6953943063298023
5,0,0,0,0,264,264,-1.6953943063298023
6,0,0,0,0,264,264,-1.6953943063298023
7,0,0,0,0,264,264,-1.6953943063298023
8,0,0,0,0,264,264,-1.6953943063298023
9,0,0,0,0,264,264,-1.6953943063298023
10,0,0,0,0,264,264,-1.6953943063298023
11,0,0,0,0,264,264,-1.6953943063298023
12,0,0,0,0,264,264,-1.6953943063298023
13,0,0,0,0,264,264,-1.6953943063298023
14,0,0,0,0,264,264,-1.6953943063298023
15,0,0,0,0,264,264,-1.6953943063298023
0,0,0,0,0,264,264,-1.6953943063298023
1,0,0,0,0,264,264,-1.6953943063298023
2,0,0,0,0,264,264,-1.6953943063298023
3,0,0,0,0,264,264,-1.6953943063298023
4,0,0,0,0,264,264,-1.6953943063298023
5,0,0,0,0,264,264,-1.6953943063298023
6,0,0,0,0,264,264,-1.6953943063298023
7,0,0,0,0,264,264,-1.6953943063298023
8,0,0,0,0,264,264,-1.6953943063298023
9,0,0,0,0,264,264,-1.6953943063298023
10,0,0,0,0,264,264,-1.6953943063298023
11,0,0,0,0,264,264,-1.6953943063298023
12,0,0,0,0,264,264,-1.6953943063298023
13,0,0,0,0,264,264,-1.6953943063298023
14,0,0,0,0,264,264,-1.6953943063298023
15,0,0,0,0,264,264,-1.6953943063298023
0,0,0,0,0,264,264,-1.6953943063298023
1,0,0,0,0,264,264,-1.6953943063298023
2,0,0,0,0,264,264,-1.6953943063298023
3,0,0,0,0,264,264,-1.6953943063298023
4,0,0,0,0,264,264,-1.6953943063298023
5,0,0,0,0,264,264,-1.6953943063298023
6,0,0,0,0,264,264,-1.6953943063298023
7,0,0,0,0,264,264,-1.6953943063298023
8,0,0,0,0,264,264,-1.6953943063298023
9,0,0,0,0,264,264,-1.6953943063298023
10,0,0,0,0,264,264,-1.6953943063298023
11,0,0,0,0,264,264,-1.6953943063298023
