nSeq;I1;I2;O1;O2;A3
0;0;0;0;0;105
1;0;0;0;0;105
2;0;0;0;0;105
3;0;0;0;0;105
4;0;0;0;0;105
5;0;0;0;0;105
6;0;0;0;0;105
7;0;0;0;0;105
8;0;0;0;0;105
9;0;0;0;0;105
10;0;0;0;0;105
11;0;0;0;0;105
12;0;0;0;0;105
13;0;0;0;0;105
14;0;0;0;0;105
15;0;0;0;0;105
0;0;0;0;0;105
1;0;0;0;0;105
2;0;0;0;0;105
3;0;0;0;0;105
4;0;0;0;0;105
5;0;0;0;0;105
6;0;0;0;0;105
7;0;0;0;0;105
8;0;0;0;0;105
9;0;0;0;0;105
10;0;0;0;0;105
11;0;0;0;0;105
12;0;0;0;0;105
13;0;0;0;0;105
14;0;0;0;0;105
15;0;0;0;0;105
0;0;0;0;0;105
1;0;0;0;0;105
2;0;0;0;0;105
3;0;0;0;0;105
4;0;0;0;0;105
5;0;0;0;0;105
6;0;0;0;0;105
7;0;0;0;0;105
8;0;0;0;0;105
9;0;0;0;0;105
10;0;0;0;0;105
11;0;0;0;0;105
12;0;0;0;0;105
13;0;0;0;0;105
14;0;0;0;0;105
15;0;0;0;0;105
0;0;0;0;0;105
1;0;0;0;0;105
2;0;0;0;0;105
3;0;0;0;0;105
4;0;0;0;0;105
5;0;0;0;0;105
6;0;0;0;0;105
7;0;0;0;0;105
8;0;0;0;0;105
9;0;0;0;0;105
10;0;0;0;0;105
11;0;0;0;0;105
12;0;0;0;0;105
13;0;0;0;0;105
14;0;0;0;0;105
15;0;0;0;0;105
0;0;0;0;0;105
1;0;0;0;0;105
2;0;0;0;0;105
3;0;0;0;0;105
4;0;0;0;0;105
5;0;0;0;0;105
6;0;0;0;0;105
7;0;0;0;0;105
8;0;0;0;0;105
9;0;0;0;0;105
10;0;0;0;0;105
11;0;0;0;0;105
12;0;0;0;0;105
13;0;0;0;0;105
14;0;0;0;0;105
15;0;0;0;0;105
0;0;0;0;0;105
1;0;0;0;0;105
2;0;0;0;0;105
3;0;0;0;0;105
4;0;0;0;0;105
5;0;0;0;0;105
6;0;0;0;0;105
7;0;0;0;0;105
8;0;0;0;0;105
9;0;0;0;0;105
10;0;0;0;0;105
11;0;0;0;0;105
12;0;0;0;0;105
13;0;0;0;0;105
14;0;0;0;0;105
15;0;0;0;0;105
0;0;0;0;0;105
1;0;0;0;0;105
2;0;0;0;0;105
3;0;0;0;0;105
4;0;0;0;0;105
5;0;0;0;0;105
6;0;0;0;0;105
7;0;0;0;0;105
8;0;0;0;0;105
9;0;0;0;0;105
10;0;0;0;0;105
11;0;0;0;0;105
12;0;0;0;0;105
13;0;0;0;0;105
14;0;0;0;0;105
15;0;0;0;0;105
0;0;0;0;0;105
1;0;0;0;0;105
2;0;0;0;0;105
3;0;0;0;0;105
4;0;0;0;0;105
5;0;0;0;0;105
6;0;0;0;0;105
7;0;0;0;0;105
8;0;0;0;0;105
9;0;0;0;0;105
10;0;0;0;0;105
11;0;0;0;0;105
12;0;0;0;0;105
13;0;0;0;0;105
14;0;0;0;0;105
15;0;0;0;0;105
0;0;0;0;0;105
1;0;0;0;0;105
2;0;0;0;0;105
3;0;0;0;0;105
4;0;0;0;0;105
5;0;0;0;0;105
6;0;0;0;0;105
7;0;0;0;0;105
8;0;0;0;0;105
9;0;0;0;0;105
10;0;0;0;0;105
11;0;0;0;0;105
12;0;0;0;0;105
13;0;0;0;0;105
14;0;0;0;0;105
15;0;0;0;0;105
0;0;0;0;0;105
1;0;0;0;0;105
2;0;0;0;0;105
3;0;0;0;0;105
4;0;0;0;0;105
5;0;0;0;0;105
