nSeq,I1,I2,O1,O2,A3,A3_filtrado,A3_normalizado
0,0,0,0,0,105,105,1.2092102595496421
1,0,0,0,0,105,105,1.2092102595496421
2,0,0,0,0,105,105,1.2092102595496421
3,0,0,0,0,105,105,1.2092102595496421
4,0,0,0,0,105,105,1.2092102595496421
5,0,0,0,0,105,105,1.2092102595496421
6,0,0,0,0,105,105,1.2092102595496421
7,0,0,0,0,105,105,1.2092102595496421
8,0,0,0,0,105,105,1.2092102595496421
9,0,0,0,0,105,105,1.2092102595496421
10,0,0,0,0,105,105,1.2092102595496421
11,0,0,0,0,105,105,1.2092102595496421
12,0,0,0,0,105,105,1.2092102595496421
13,0,0,0,0,105,105,1.2092102595496421
14,0,0,0,0,105,105,1.2092102595496421
15,0,0,0,0,105,105,1.2092102595496421
0,0,0,0,0,105,105,1.2092102595496421
1,0,0,0,0,105,105,1.2092102595496421
2,0,0,0,0,105,105,1.2092102595496421
3,0,0,0,0,105,105,1.2092102595496421
4,0,0,0,0,105,105,1.2092102595496421
5,0,0,0,0,105,105,1.2092102595496421
6,0,0,0,0,105,105,1.2092102595496421
7,0,0,0,0,105,105,1.2092102595496421
8,0,0,0,0,105,105,1.2092102595496421
9,0,0,0,0,105,105,1.2092102595496421
10,0,0,0,0,105,105,1.2092102595496421
11,0,0,0,0,105,105,1.2092102595496421
12,0,0,0,0,105,105,1.2092102595496421
13,0,0,0,0,105,105,1.2092102595496421
14,0,0,0,0,105,105,1.2092102595496421
15,0,0,0,0,105,105,1.2092102595496421
0,0,0,0,0,105,105,1.2092102595496421
1,0,0,0,0,105,105,1.2092102595496421
2,0,0,0,0,105,105,1.2092102595496421
3,0,0,0,0,105,105,1.2092102595496421
4,0,0,0,0,105,105,1.2092102595496421
5,0,0,0,0,105,105,1.2092102595496421
6,0,0,0,0,105,105,1.2092102595496421
7,0,0,0,0,105,105,1.2092102595496421
8,0,0,0,0,105,105,1.2092102595496421
9,0,0,0,0,105,105,1.2092102595496421
10,0,0,0,0,105,105,1.2092102595496421
11,0,0,0,0,105,105,1.2092102595496421
12,0,0,0,0,105,105,1.2092102595496421
13,0,0,0,0,105,105,1.2092102595496421
14,0,0,0,0,105,105,1.2092102595496421
15,0,0,0,0,105,105,1.2092102595496421
0,0,0,0,0,105,105,1.2092102595496421
1,0,0,0,0,105,105,1.2092102595496421
2,0,0,0,0,105,105,1.2092102595496421
3,0,0,0,0,105,105,1.2092102595496421
4,0,0,0,0,105,105,1.2092102595496421
5,0,0,0,0,105,105,1.2092102595496421
6,0,0,0,0,105,105,1.2092102595496421
7,0,0,0,0,105,105,1.2092102595496421
8,0,0,0,0,105,105,1.2092102595496421
9,0,0,0,0,105,105,1.2092102595496421
10,0,0,0,0,105,105,1.2092102595496421
11,0,0,0,0,105,105,1.2092102595496421
12,0,0,0,0,105,105,1.2092102595496421
13,0,0,0,0,105,105,1.2092102595496421
14,0,0,0,0,105,105,1.2092102595496421
15,0,0,0,0,105,105,1.2092102595496421
0,0,0,0,0,105,105,1.2092102595496421
1,0,0,0,0,105,105,1.2092102595496421
2,0,0,0,0,105,105,1.2092102595496421
3,0,0,0,0,105,105,1.2092102595496421
4,0,0,0,0,105,105,1.2092102595496421
5,0,0,0,0,105,105,1.2092102595496421
6,0,0,0,0,105,105,1.2092102595496421
7,0,0,0,0,105,105,1.2092102595496421
8,0,0,0,0,105,105,1.2092102595496421
