nSeq,I1,I2,O1,O2,A3,A3_filtrado,A3_normalizado
0,0,0,0,0,224,224,-0.03974912144386305
1,0,0,0,0,224,224,-0.03974912144386305
2,0,0,0,0,224,224,-0.03974912144386305
3,0,0,0,0,224,224,-0.03974912144386305
4,0,0,0,0,224,224,-0.03974912144386305
5,0,0,0,0,224,224,-0.03974912144386305
6,0,0,0,0,224,224,-0.03974912144386305
7,0,0,0,0,224,224,-0.03974912144386305
8,0,0,0,0,224,224,-0.03974912144386305
9,0,0,0,0,224,224,-0.03974912144386305
10,0,0,0,0,224,224,-0.03974912144386305
11,0,0,0,0,224,224,-0.03974912144386305
12,0,0,0,0,224,224,-0.03974912144386305
13,0,0,0,0,224,224,-0.03974912144386305
14,0,0,0,0,224,224,-0.03974912144386305
15,0,0,0,0,224,224,-0.03974912144386305
0,0,0,0,0,224,224,-0.03974912144386305
1,0,0,0,0,224,224,-0.03974912144386305
2,0,0,0,0,224,224,-0.03974912144386305
3,0,0,0,0,224,224,-0.03974912144386305
4,0,0,0,0,224,224,-0.03974912144386305
5,0,0,0,0,224,224,-0.03974912144386305
6,0,0,0,0,224,224,-0.03974912144386305
7,0,0,0,0,224,224,-0.03974912144386305
8,0,0,0,0,224,224,-0.03974912144386305
9,0,0,0,0,224,224,-0.03974912144386305
10,0,0,0,0,224,224,-0.03974912144386305
11,0,0,0,0,224,224,-0.03974912144386305
12,0,0,0,0,224,224,-0.03974912144386305
13,0,0,0,0,224,224,-0.03974912144386305
14,0,0,0,0,224,224,-0.03974912144386305
15,0,0,0,0,224,224,-0.03974912144386305
0,0,0,0,0,224,224,-0.03974912144386305
1,0,0,0,0,224,224,-0.03974912144386305
2,0,0,0,0,224,224,-0.03974912144386305
3,0,0,0,0,224,224,-0.03974912144386305
4,0,0,0,0,224,224,-0.03974912144386305
5,0,0,0,0,224,224,-0.03974912144386305
6,0,0,0,0,224,224,-0.03974912144386305
7,0,0,0,0,224,224,-0.03974912144386305
8,0,0,0,0,224,224,-0.03974912144386305
9,0,0,0,0,224,224,-0.03974912144386305
10,0,0,0,0,224,224,-0.03974912144386305
11,0,0,0,0,224,224,-0.03974912144386305
12,0,0,0,0,224,224,-0.03974912144386305
13,0,0,0,0,224,224,-0.03974912144386305
14,0,0,0,0,224,224,-0.03974912144386305
15,0,0,0,0,224,224,-0.03974912144386305
0,0,0,0,0,224,224,-0.03974912144386305
1,0,0,0,0,224,224,-0.03974912144386305
2,0,0,0,0,224,224,-0.03974912144386305
3,0,0,0,0,224,224,-0.03974912144386305
4,0,0,0,0,224,224,-0.03974912144386305
5,0,0,0,0,224,224,-0.03974912144386305
6,0,0,0,0,224,224,-0.03974912144386305
7,0,0,0,0,224,224,-0.03974912144386305
8,0,0,0,0,224,224,-0.03974912144386305
9,0,0,0,0,224,224,-0.03974912144386305
10,0,0,0,0,224,224,-0.03974912144386305
11,0,0,0,0,224,224,-0.03974912144386305
12,0,0,0,0,224,224,-0.03974912144386305
13,0,0,0,0,224,224,-0.03974912144386305
14,0,0,0,0,224,224,-0.03974912144386305
15,0,0,0,0,224,224,-0.03974912144386305
0,0,0,0,0,224,224,-0.03974912144386305
1,0,0,0,0,224,224,-0.03974912144386305
2,0,0,0,0,224,224,-0.03974912144386305
3,0,0,0,0,224,224,-0.03974912144386305
4,0,0,0,0,224,224,-0.03974912144386305
5,0,0,0,0,224,224,-0.03974912144386305
6,0,0,0,0,224,224,-0.03974912144386305
7,0,0,0,0,224,224,-0.03974912144386305
8,0,0,0,0,224,224,-0.03974912144386305
9,0,0,0,0,224,224,-0.03974912144386305
10,0,0,0,0,224,224,-0.03974912144386305
11,0,0,0,0,224,224,-0.03974912144386305
12,0,0,0,0,224,224,-0.03974912144386305
13,0,0,0,0,224,224,-0.03974912144386305
14,0,0,0,0,224,224,-0.03974912144386305
15,0,0,0,0,224,224,-0.03974912144386305
0,0,0,0,0,224,224,-0.03974912144386305
1,0,0,0,0,224,224,-0.03974912144386305
2,0,0,0,0,224,224,-0.03974912144386305
3,0,0,0,0,224,224,-0.03974912144386305
4,0,0,0,0,224,224,-0.03974912144386305
5,0,0,0,0,224,224,-0.03974912144386305
6,0,0,0,0,224,224,-0.03974912144386305
7,0,0,0,0,224,224,-0.03974912144386305
8,0,0,0,0,224,224,-0.03974912144386305
9,0,0,0,0,224,224,-0.03974912144386305
10,0,0,0,0,224,224,-0.03974912144386305
11,0,0,0,0,224,224,-0.03974912144386305
12,0,0,0,0,224,224,-0.03974912144386305
13,0,0,0,0,224,224,-0.03974912144386305
14,0,0,0,0,224,224,-0.03974912144386305
15,0,0,0,0,224,224,-0.03974912144386305
0,0,0,0,0,224,224,-0.03974912144386305
1,0,0,0,0,224,224,-0.03974912144386305
2,0,0,0,0,224,224,-0.03974912144386305
3,0,0,0,0,224,224,-0.03974912144386305
4,0,0,0,0,224,224,-0.03974912144386305
5,0,0,0,0,224,224,-0.03974912144386305
6,0,0,0,0,224,224,-0.03974912144386305
7,0,0,0,0,224,224,-0.03974912144386305
8,0,0,0,0,224,224,-0.03974912144386305
9,0,0,0,0,224,224,-0.03974912144386305
10,0,0,0,0,224,224,-0.03974912144386305
11,0,0,0,0,224,224,-0.03974912144386305
12,0,0,0,0,224,224,-0.03974912144386305
13,0,0,0,0,224,224,-0.03974912144386305
14,0,0,0,0,224,224,-0.03974912144386305
15,0,0,0,0,224,224,-0.03974912144386305
0,0,0,0,0,224,224,-0.03974912144386305
1,0,0,0,0,224,224,-0.03974912144386305
2,0,0,0,0,224,224,-0.03974912144386305
3,0,0,0,0,224,224,-0.03974912144386305
4,0,0,0,0,224,224,-0.03974912144386305
5,0,0,0,0,223,224,-0.03974912144386305
6,0,0,0,0,224,224,-0.03974912144386305
7,0,0,0,0,224,224,-0.03974912144386305
8,0,0,0,0,224,224,-0.03974912144386305
9,0,0,0,0,224,224,-0.03974912144386305
10,0,0,0,0,224,224,-0.03974912144386305
11,0,0,0,0,224,224,-0.03974912144386305
12,0,0,0,0,224,224,-0.03974912144386305
13,0,0,0,0,224,224,-0.03974912144386305
14,0,0,0,0,224,224,-0.03974912144386305
15,0,0,0,0,224,224,-0.03974912144386305
0,0,0,0,0,224,224,-0.03974912144386305
1,0,0,0,0,224,224,-0.03974912144386305
2,0,0,0,0,224,224,-0.03974912144386305
3,0,0,0,0,223,224,-0.03974912144386305
4,0,0,0,0,224,223,-0.17823821553761518
5,0,0,0,0,223,224,-0.03974912144386305
6,0,0,0,0,224,223,-0.17823821553761518
7,0,0,0,0,223,224,-0.03974912144386305
8,0,0,0,0,224,223,-0.17823821553761518
9,0,0,0,0,223,224,-0.03974912144386305
10,0,0,0,0,224,224,-0.03974912144386305
11,0,0,0,0,224,224,-0.03974912144386305
12,0,0,0,0,223,223,-0.17823821553761518
13,0,0,0,0,223,223,-0.17823821553761518
14,0,0,0,0,224,224,-0.03974912144386305
15,0,0,0,0,224,224,-0.03974912144386305
0,0,0,0,0,224,224,-0.03974912144386305
1,0,0,0,0,223,224,-0.03974912144386305
2,0,0,0,0,224,223,-0.17823821553761518
3,0,0,0,0,223,224,-0.03974912144386305
4,0,0,0,0,224,223,-0.17823821553761518
5,0,0,0,0,223,223,-0.17823821553761518
6,0,0,0,0,223,223,-0.17823821553761518
7,0,0,0,0,223,223,-0.17823821553761518
8,0,0,0,0,223,223,-0.17823821553761518
9,0,0,0,0,223,223,-0.17823821553761518
10,0,0,0,0,223,223,-0.17823821553761518
11,0,0,0,0,223,223,-0.17823821553761518
12,0,0,0,0,223,223,-0.17823821553761518
13,0,0,0,0,223,223,-0.17823821553761518
14,0,0,0,0,223,223,-0.17823821553761518
15,0,0,0,0,223,223,-0.17823821553761518
0,0,0,0,0,223,223,-0.17823821553761518
1,0,0,0,0,224,223,-0.17823821553761518
2,0,0,0,0,223,223,-0.17823821553761518
3,0,0,0,0,223,223,-0.17823821553761518
4,0,0,0,0,223,223,-0.17823821553761518
5,0,0,0,0,223,223,-0.17823821553761518
6,0,0,0,0,223,223,-0.17823821553761518
7,0,0,0,0,223,223,-0.17823821553761518
8,0,0,0,0,223,223,-0.17823821553761518
9,0,0,0,0,223,223,-0.17823821553761518
10,0,0,0,0,223,223,-0.17823821553761518
11,0,0,0,0,223,223,-0.17823821553761518
12,0,0,0,0,223,223,-0.17823821553761518
13,0,0,0,0,223,223,-0.17823821553761518
14,0,0,0,0,223,223,-0.17823821553761518
15,0,0,0,0,223,223,-0.17823821553761518
0,0,0,0,0,223,223,-0.17823821553761518
1,0,0,0,0,223,223,-0.17823821553761518
2,0,0,0,0,223,223,-0.17823821553761518
3,0,0,0,0,223,223,-0.17823821553761518
4,0,0,0,0,223,223,-0.17823821553761518
5,0,0,0,0,223,223,-0.17823821553761518
6,0,0,0,0,223,223,-0.17823821553761518
7,0,0,0,0,223,223,-0.17823821553761518
8,0,0,0,0,223,223,-0.17823821553761518
9,0,0,0,0,223,223,-0.17823821553761518
10,0,0,0,0,223,223,-0.17823821553761518
11,0,0,0,0,223,223,-0.17823821553761518
12,0,0,0,0,223,223,-0.17823821553761518
13,0,0,0,0,223,223,-0.17823821553761518
14,0,0,0,0,223,223,-0.17823821553761518
15,0,0,0,0,223,223,-0.17823821553761518
0,0,0,0,0,223,223,-0.17823821553761518
1,0,0,0,0,223,223,-0.17823821553761518
2,0,0,0,0,223,223,-0.17823821553761518
3,0,0,0,0,223,223,-0.17823821553761518
4,0,0,0,0,223,223,-0.17823821553761518
5,0,0,0,0,223,223,-0.17823821553761518
6,0,0,0,0,223,223,-0.17823821553761518
7,0,0,0,0,223,223,-0.17823821553761518
8,0,0,0,0,223,223,-0.17823821553761518
9,0,0,0,0,223,223,-0.17823821553761518
10,0,0,0,0,223,223,-0.17823821553761518
11,0,0,0,0,223,223,-0.17823821553761518
12,0,0,0,0,223,223,-0.17823821553761518
13,0,0,0,0,223,223,-0.17823821553761518
14,0,0,0,0,223,223,-0.17823821553761518
15,0,0,0,0,223,223,-0.17823821553761518
0,0,0,0,0,223,223,-0.17823821553761518
1,0,0,0,0,223,223,-0.17823821553761518
2,0,0,0,0,223,223,-0.17823821553761518
3,0,0,0,0,223,223,-0.17823821553761518
4,0,0,0,0,223,223,-0.17823821553761518
5,0,0,0,0,223,223,-0.17823821553761518
6,0,0,0,0,223,223,-0.17823821553761518
7,0,0,0,0,223,223,-0.17823821553761518
8,0,0,0,0,223,223,-0.17823821553761518
9,0,0,0,0,223,223,-0.17823821553761518
10,0,0,0,0,223,223,-0.17823821553761518
11,0,0,0,0,223,223,-0.17823821553761518
12,0,0,0,0,223,223,-0.17823821553761518
13,0,0,0,0,223,223,-0.17823821553761518
14,0,0,0,0,223,223,-0.17823821553761518
15,0,0,0,0,223,223,-0.17823821553761518
0,0,0,0,0,223,223,-0.17823821553761518
1,0,0,0,0,223,223,-0.17823821553761518
2,0,0,0,0,223,223,-0.17823821553761518
3,0,0,0,0,223,223,-0.17823821553761518
4,0,0,0,0,223,223,-0.17823821553761518
5,0,0,0,0,223,223,-0.17823821553761518
6,0,0,0,0,223,223,-0.17823821553761518
7,0,0,0,0,223,223,-0.17823821553761518
8,0,0,0,0,223,223,-0.17823821553761518
9,0,0,0,0,223,223,-0.17823821553761518
10,0,0,0,0,223,223,-0.17823821553761518
11,0,0,0,0,223,223,-0.17823821553761518
12,0,0,0,0,223,223,-0.17823821553761518
13,0,0,0,0,223,223,-0.17823821553761518
14,0,0,0,0,223,223,-0.17823821553761518
15,0,0,0,0,223,223,-0.17823821553761518
0,0,0,0,0,223,223,-0.17823821553761518
1,0,0,0,0,223,223,-0.17823821553761518
2,0,0,0,0,223,223,-0.17823821553761518
3,0,0,0,0,223,223,-0.17823821553761518
4,0,0,0,0,223,223,-0.17823821553761518
5,0,0,0,0,223,223,-0.17823821553761518
6,0,0,0,0,223,223,-0.17823821553761518
7,0,0,0,0,223,223,-0.17823821553761518
8,0,0,0,0,223,223,-0.17823821553761518
9,0,0,0,0,223,223,-0.17823821553761518
10,0,0,0,0,223,223,-0.17823821553761518
11,0,0,0,0,223,223,-0.17823821553761518
12,0,0,0,0,223,223,-0.17823821553761518
13,0,0,0,0,223,223,-0.17823821553761518
14,0,0,0,0,223,223,-0.17823821553761518
15,0,0,0,0,223,223,-0.17823821553761518
0,0,0,0,0,223,223,-0.17823821553761518
1,0,0,0,0,223,223,-0.17823821553761518
2,0,0,0,0,223,223,-0.17823821553761518
3,0,0,0,0,223,223,-0.17823821553761518
4,0,0,0,0,223,223,-0.17823821553761518
5,0,0,0,0,223,223,-0.17823821553761518
6,0,0,0,0,223,223,-0.17823821553761518
7,0,0,0,0,223,223,-0.17823821553761518
8,0,0,0,0,223,223,-0.17823821553761518
9,0,0,0,0,223,223,-0.17823821553761518
10,0,0,0,0,223,223,-0.17823821553761518
11,0,0,0,0,223,223,-0.17823821553761518
12,0,0,0,0,223,223,-0.17823821553761518
13,0,0,0,0,223,223,-0.17823821553761518
14,0,0,0,0,223,223,-0.17823821553761518
