A1_filtrado,Grupo1_max,Grupo2_max,A1_filtrado,Grupo1_min,Grupo2_min
-3.0,1.0,3.0,0.0,1.0,3.0
0.0,3.0,5.0,0.0,3.0,5.0
-1.0,5.0,7.0,0.0,5.0,7.0
0.0,7.0,9.0,0.0,7.0,9.0
2.0,9.0,11.0,0.0,9.0,11.0
-1.0,11.0,13.0,0.0,11.0,13.0
-1.0,13.0,15.0,0.0,13.0,15.0
2.0,15.0,17.0,0.0,15.0,17.0
-1.0,17.0,19.0,0.0,17.0,19.0
2.0,19.0,21.0,0.0,19.0,21.0
-3.0,21.0,23.0,0.0,21.0,23.0
2.0,23.0,25.0,0.0,23.0,25.0
-1.0,25.0,27.0,1.0,25.0,27.0
1.0,27.0,29.0,-1.0,27.0,29.0
-2.0,29.0,31.0,0.0,29.0,31.0
2.0,31.0,33.0,0.0,31.0,33.0
-2.0,33.0,35.0,0.0,33.0,35.0
0.0,35.0,37.0,0.0,35.0,37.0
0.0,37.0,39.0,0.0,37.0,39.0
1.0,39.0,41.0,0.0,39.0,41.0
-1.0,41.0,43.0,0.0,41.0,43.0
4.0,43.0,45.0,0.0,43.0,45.0
-4.0,45.0,47.0,0.0,45.0,47.0
0.0,47.0,49.0,0.0,47.0,49.0
0.0,49.0,51.0,0.0,49.0,51.0
0.0,51.0,53.0,0.0,51.0,53.0
0.0,53.0,55.0,0.0,53.0,55.0
2.0,55.0,57.0,0.0,55.0,57.0
-2.0,57.0,59.0,0.0,57.0,59.0
3.0,59.0,61.0,0.0,59.0,61.0
-2.0,61.0,63.0,0.0,61.0,63.0
-1.0,63.0,65.0,0.0,63.0,65.0
3.0,65.0,67.0,0.0,65.0,67.0
-1.0,67.0,69.0,0.0,67.0,69.0
-2.0,69.0,71.0,0.0,69.0,71.0
1.0,71.0,73.0,0.0,71.0,73.0
-1.0,73.0,75.0,0.0,73.0,75.0
0.0,75.0,77.0,0.0,75.0,77.0
0.0,77.0,79.0,0.0,77.0,79.0
1.0,79.0,81.0,0.0,79.0,81.0
2.0,81.0,83.0,0.0,81.0,83.0
-3.0,83.0,85.0,0.0,83.0,85.0
3.0,85.0,87.0,0.0,85.0,87.0
-1.0,87.0,89.0,0.0,87.0,89.0
-1.0,89.0,91.0,0.0,89.0,91.0
