nSeq,I1,I2,O1,O2,A1,A1_filtrado,A1_normalizado,Grupo,Estado
0,0,0,0,0,507,507,-0.0270961393746701,0.0,Relajado
1,0,0,0,0,509,508,0.0551411707897033,1.0,Contraido
2,0,0,0,0,508,508,0.0551411707897033,1.0,Contraido
3,0,0,0,0,508,508,0.0551411707897033,1.0,Contraido
4,0,0,0,0,508,508,0.0551411707897033,1.0,Contraido
5,0,0,0,0,509,509,0.1373784809540768,1.0,Contraido
6,0,0,0,0,509,509,0.1373784809540768,1.0,Contraido
7,0,0,0,0,513,511,0.3018531012828239,1.0,Contraido
8,0,0,0,0,511,511,0.3018531012828239,1.0,Contraido
9,0,0,0,0,507,508,0.0551411707897033,1.0,Contraido
10,0,0,0,0,508,508,0.0551411707897033,1.0,Contraido
11,0,0,0,0,509,508,0.0551411707897033,1.0,Contraido
12,0,0,0,0,508,509,0.1373784809540768,1.0,Contraido
13,0,0,0,0,512,512,0.3840904114471974,1.0,Contraido
14,0,0,0,0,512,512,0.3840904114471974,1.0,Contraido
15,0,0,0,0,507,507,-0.0270961393746701,2.0,Relajado
0,0,0,0,0,505,506,-0.1093334495390436,2.0,Relajado
1,0,0,0,0,506,506,-0.1093334495390436,2.0,Relajado
2,0,0,0,0,508,508,0.0551411707897033,3.0,Contraido
3,0,0,0,0,509,509,0.1373784809540768,3.0,Contraido
4,0,0,0,0,510,509,0.1373784809540768,3.0,Contraido
5,0,0,0,0,509,509,0.1373784809540768,3.0,Contraido
6,0,0,0,0,505,509,0.1373784809540768,3.0,Contraido
7,0,0,0,0,509,508,0.0551411707897033,3.0,Contraido
8,0,0,0,0,508,508,0.0551411707897033,3.0,Contraido
9,0,0,0,0,508,508,0.0551411707897033,3.0,Contraido
10,0,0,0,0,506,506,-0.1093334495390436,4.0,Relajado
11,0,0,0,0,505,505,-0.1915707597034171,4.0,Relajado
12,0,0,0,0,504,505,-0.1915707597034171,4.0,Relajado
13,0,0,0,0,505,505,-0.1915707597034171,4.0,Relajado
14,0,0,0,0,506,506,-0.1093334495390436,4.0,Relajado
15,0,0,0,0,506,506,-0.1093334495390436,4.0,Relajado
0,0,0,0,0,509,508,0.0551411707897033,5.0,Contraido
1,0,0,0,0,508,508,0.0551411707897033,5.0,Contraido
2,0,0,0,0,508,508,0.0551411707897033,5.0,Contraido
3,0,0,0,0,510,509,0.1373784809540768,5.0,Contraido
4,0,0,0,0,509,509,0.1373784809540768,5.0,Contraido
5,0,0,0,0,507,508,0.0551411707897033,5.0,Contraido
6,0,0,0,0,508,507,-0.0270961393746701,6.0,Relajado
7,0,0,0,0,506,508,0.0551411707897033,7.0,Contraido
8,0,0,0,0,508,507,-0.0270961393746701,8.0,Relajado
9,0,0,0,0,507,508,0.0551411707897033,9.0,Contraido
10,0,0,0,0,508,508,0.0551411707897033,9.0,Contraido
11,0,0,0,0,508,508,0.0551411707897033,9.0,Contraido
12,0,0,0,0,508,508,0.0551411707897033,9.0,Contraido
13,0,0,0,0,510,508,0.0551411707897033,9.0,Contraido
14,0,0,0,0,508,508,0.0551411707897033,9.0,Contraido
15,0,0,0,0,506,506,-0.1093334495390436,10.0,Relajado
0,0,0,0,0,505,505,-0.1915707597034171,10.0,Relajado
1,0,0,0,0,504,505,-0.1915707597034171,10.0,Relajado
2,0,0,0,0,505,505,-0.1915707597034171,10.0,Relajado
3,0,0,0,0,506,506,-0.1093334495390436,10.0,Relajado
4,0,0,0,0,507,507,-0.0270961393746701,10.0,Relajado
5,0,0,0,0,507,507,-0.0270961393746701,10.0,Relajado
6,0,0,0,0,506,506,-0.1093334495390436,10.0,Relajado
7,0,0,0,0,506,506,-0.1093334495390436,10.0,Relajado
8,0,0,0,0,504,505,-0.1915707597034171,10.0,Relajado
9,0,0,0,0,505,505,-0.1915707597034171,10.0,Relajado
10,0,0,0,0,505,505,-0.1915707597034171,10.0,Relajado
11,0,0,0,0,508,508,0.0551411707897033,11.0,Contraido
12,0,0,0,0,508,508,0.0551411707897033,11.0,Contraido
13,0,0,0,0,509,509,0.1373784809540768,11.0,Contraido
14,0,0,0,0,510,510,0.2196157911184503,11.0,Contraido
15,0,0,0,0,511,510,0.2196157911184503,11.0,Contraido
0,0,0,0,0,509,509,0.1373784809540768,11.0,Contraido
1,0,0,0,0,509,509,0.1373784809540768,11.0,Contraido
2,0,0,0,0,507,507,-0.0270961393746701,12.0,Relajado
3,0,0,0,0,506,507,-0.0270961393746701,12.0,Relajado
