nSeq,I1,I2,O1,O2,A1,A1_filtrado,A1_normalizado,Grupo,Estado
0,0,0,0,0,509,507,-0.0482181633879616,0.0,Relajado
1,0,0,0,0,507,508,0.0383891179390773,1.0,Contraido
2,0,0,0,0,508,507,-0.0482181633879616,2.0,Relajado
3,0,0,0,0,505,507,-0.0482181633879616,2.0,Relajado
4,0,0,0,0,507,507,-0.0482181633879616,2.0,Relajado
5,0,0,0,0,512,507,-0.0482181633879616,2.0,Relajado
6,0,0,0,0,507,507,-0.0482181633879616,2.0,Relajado
7,0,0,0,0,506,507,-0.0482181633879616,2.0,Relajado
8,0,0,0,0,508,508,0.0383891179390773,3.0,Contraido
9,0,0,0,0,510,508,0.0383891179390773,3.0,Contraido
10,0,0,0,0,506,506,-0.1348254447150006,4.0,Relajado
11,0,0,0,0,506,506,-0.1348254447150006,4.0,Relajado
12,0,0,0,0,508,506,-0.1348254447150006,4.0,Relajado
13,0,0,0,0,504,505,-0.2214327260420396,4.0,Relajado
14,0,0,0,0,505,504,-0.3080400073690785,4.0,Relajado
15,0,0,0,0,504,505,-0.2214327260420396,4.0,Relajado
0,0,0,0,0,505,504,-0.3080400073690785,4.0,Relajado
1,0,0,0,0,504,504,-0.3080400073690785,4.0,Relajado
2,0,0,0,0,504,504,-0.3080400073690785,4.0,Relajado
3,0,0,0,0,506,506,-0.1348254447150006,4.0,Relajado
4,0,0,0,0,509,509,0.1249963992661163,5.0,Contraido
5,0,0,0,0,509,509,0.1249963992661163,5.0,Contraido
6,0,0,0,0,510,510,0.2116036805931553,5.0,Contraido
7,0,0,0,0,510,510,0.2116036805931553,5.0,Contraido
8,0,0,0,0,511,511,0.2982109619201943,5.0,Contraido
9,0,0,0,0,511,511,0.2982109619201943,5.0,Contraido
10,0,0,0,0,511,511,0.2982109619201943,5.0,Contraido
11,0,0,0,0,507,507,-0.0482181633879616,6.0,Relajado
12,0,0,0,0,506,506,-0.1348254447150006,6.0,Relajado
13,0,0,0,0,505,505,-0.2214327260420396,6.0,Relajado
14,0,0,0,0,503,505,-0.2214327260420396,6.0,Relajado
15,0,0,0,0,506,506,-0.1348254447150006,6.0,Relajado
0,0,0,0,0,506,506,-0.1348254447150006,6.0,Relajado
1,0,0,0,0,505,506,-0.1348254447150006,6.0,Relajado
2,0,0,0,0,507,507,-0.0482181633879616,6.0,Relajado
3,0,0,0,0,508,507,-0.0482181633879616,6.0,Relajado
4,0,0,0,0,507,507,-0.0482181633879616,6.0,Relajado
5,0,0,0,0,507,507,-0.0482181633879616,6.0,Relajado
6,0,0,0,0,506,507,-0.0482181633879616,6.0,Relajado
7,0,0,0,0,509,508,0.0383891179390773,7.0,Contraido
8,0,0,0,0,508,508,0.0383891179390773,7.0,Contraido
9,0,0,0,0,504,506,-0.1348254447150006,8.0,Relajado
10,0,0,0,0,506,505,-0.2214327260420396,8.0,Relajado
11,0,0,0,0,505,505,-0.2214327260420396,8.0,Relajado
12,0,0,0,0,505,505,-0.2214327260420396,8.0,Relajado
13,0,0,0,0,511,511,0.2982109619201943,9.0,Contraido
14,0,0,0,0,519,511,0.2982109619201943,9.0,Contraido
15,0,0,0,0,508,508,0.0383891179390773,9.0,Contraido
0,0,0,0,0,499,499,-0.7410764140042735,10.0,Relajado
1,0,0,0,0,493,493,-1.2607201019665073,10.0,Relajado
2,0,0,0,0,491,493,-1.2607201019665073,10.0,Relajado
3,0,0,0,0,507,507,-0.0482181633879616,10.0,Relajado
4,0,0,0,0,509,507,-0.0482181633879616,10.0,Relajado
