nSeq;I1; I2; O1; O2;A1;A2;A3;A4;A5;A6
0;0;0;0;0;509;508;0;514;38;11
1;0;0;0;0;507;507;0;513;38;11
2;0;0;0;0;508;508;0;515;38;11
3;0;0;0;0;505;507;0;515;38;11
4;0;0;0;0;507;506;0;514;38;11
5;0;0;0;0;512;506;0;513;38;11
6;0;0;0;0;507;507;0;512;38;11
7;0;0;0;0;506;508;0;512;38;11
8;0;0;0;0;508;509;0;508;38;11
9;0;0;0;0;510;510;0;513;38;11
10;0;0;0;0;506;511;0;516;38;11
11;0;0;0;0;506;510;0;515;38;11
12;0;0;0;0;508;510;0;513;38;11
13;0;0;0;0;504;509;0;511;38;11
14;0;0;0;0;505;508;0;510;38;11
15;0;0;0;0;504;509;0;509;38;11
0;0;0;0;0;505;508;0;510;38;11
1;0;0;0;0;504;508;0;511;38;11
2;0;0;0;0;504;508;0;511;38;11
3;0;0;0;0;506;507;0;514;38;11
4;0;0;0;0;509;505;0;515;38;11
5;0;0;0;0;509;506;0;513;38;11
6;0;0;0;0;510;508;0;512;38;11
7;0;0;0;0;510;509;0;513;38;11
8;0;0;0;0;511;510;0;511;38;11
9;0;0;0;0;511;510;0;514;38;11
10;0;0;0;0;511;510;0;516;38;11
11;0;0;0;0;507;511;0;516;38;11
12;0;0;0;0;506;510;0;517;38;11
13;0;0;0;0;505;511;0;516;38;11
14;0;0;0;0;503;512;0;518;38;11
15;0;0;0;0;506;511;0;516;38;11
0;0;0;0;0;506;513;0;514;38;11
1;0;0;0;0;505;512;0;515;38;11
2;0;0;0;0;507;512;0;519;38;11
3;0;0;0;0;508;514;0;515;38;11
4;0;0;0;0;507;512;0;515;38;11
5;0;0;0;0;507;511;0;515;38;11
6;0;0;0;0;506;510;0;513;38;11
7;0;0;0;0;509;511;0;514;38;11
8;0;0;0;0;508;513;0;513;38;11
9;0;0;0;0;504;511;0;514;38;11
10;0;0;0;0;506;513;0;512;38;11
11;0;0;0;0;505;514;0;512;38;11
12;0;0;0;0;505;514;0;512;38;11
13;0;0;0;0;511;513;0;516;38;11
14;0;0;0;0;519;512;0;518;38;11
15;0;0;0;0;508;512;0;520;38;11
0;0;0;0;0;499;513;0;520;38;11
1;0;0;0;0;493;512;0;519;38;11
2;0;0;0;0;491;511;0;520;38;11
3;0;0;0;0;507;512;0;518;38;11
4;0;0;0;0;509;512;0;516;38;11
5;0;0;0;0;507;510;0;512;38;11
6;0;0;0;0;514;511;0;511;38;11
7;0;0;0;0;509;512;0;511;38;11
8;0;0;0;0;506;511;0;509;38;11
9;0;0;0;0;505;510;0;508;38;11
10;0;0;0;0;504;509;0;508;38;11
11;0;0;0;0;503;511;0;507;38;11
12;0;0;0;0;500;510;0;507;38;11
13;0;0;0;0;496;509;0;507;38;11
14;0;0;0;0;501;511;0;509;38;11
15;0;0;0;0;510;512;0;508;38;11
0;0;0;0;0;519;512;0;508;38;11
1;0;0;0;0;525;512;0;515;38;11
2;0;0;0;0;517;511;0;520;38;11
3;0;0;0;0;513;512;0;522;38;11
4;0;0;0;0;503;511;0;520;38;11
5;0;0;0;0;501;510;0;517;38;11
6;0;0;0;0;505;508;0;515;38;11
7;0;0;0;0;504;507;0;515;38;11
8;0;0;0;0;508;510;0;514;38;11
9;0;0;0;0;504;507;0;515;38;11
10;0;0;0;0;503;508;0;515;38;11
11;0;0;0;0;506;510;0;515;38;11
12;0;0;0;0;509;510;0;515;38;11
13;0;0;0;0;514;511;0;515;38;11
14;0;0;0;0;514;511;0;513;38;11
15;0;0;0;0;508;512;0;513;38;11
0;0;0;0;0;511;510;0;510;38;11
1;0;0;0;0;509;510;0;507;38;11
2;0;0;0;0;507;510;0;508;38;11
3;0;0;0;0;509;510;0;509;38;11
4;0;0;0;0;503;510;0;508;38;11
5;0;0;0;0;504;510;0;512;38;11
6;0;0;0;0;504;510;0;517;38;11
7;0;0;0;0;511;511;0;518;38;11
8;0;0;0;0;516;510;0;519;38;11
9;0;0;0;0;510;511;0;517;38;11
10;0;0;0;0;510;511;0;515;38;11
11;0;0;0;0;511;511;0;513;38;11
12;0;0;0;0;516;511;0;510;38;11
13;0;0;0;0;513;509;0;511;38;11
14;0;0;0;0;499;510;0;511;38;11
15;0;0;0;0;502;512;0;512;38;11
0;0;0;0;0;505;510;0;510;38;11
1;0;0;0;0;504;510;0;509;38;11
2;0;0;0;0;504;510;0;509;38;11
3;0;0;0;0;508;510;0;508;38;11
4;0;0;0;0;508;509;0;509;38;11
5;0;0;0;0;508;509;0;510;38;11
6;0;0;0;0;515;508;0;511;38;11
7;0;0;0;0;518;508;0;512;38;11
8;0;0;0;0;515;509;0;510;38;11
9;0;0;0;0;513;508;0;512;38;11
10;0;0;0;0;498;509;0;512;38;11
11;0;0;0;0;501;510;0;511;38;11
12;0;0;0;0;507;510;0;511;38;11
13;0;0;0;0;508;509;0;512;38;11
14;0;0;0;0;513;511;0;512;38;11
15;0;0;0;0;516;511;0;510;38;11
0;0;0;0;0;509;510;0;510;38;11
1;0;0;0;0;506;511;0;512;38;11
2;0;0;0;0;509;512;0;513;38;11
3;0;0;0;0;507;511;0;516;38;11
4;0;0;0;0;508;509;0;519;38;11
5;0;0;0;0;513;508;0;518;38;11
6;0;0;0;0;513;511;0;517;38;11
7;0;0;0;0;511;511;0;516;38;11
8;0;0;0;0;509;511;0;514;38;11
9;0;0;0;0;508;511;0;511;38;11
10;0;0;0;0;507;511;0;512;38;11
11;0;0;0;0;509;511;0;512;38;11
12;0;0;0;0;509;511;0;513;38;11
13;0;0;0;0;508;512;0;512;38;11
14;0;0;0;0;506;512;0;511;38;11
15;0;0;0;0;508;515;0;511;38;11
0;0;0;0;0;508;515;0;509;38;11
1;0;0;0;0;503;514;0;509;38;11
2;0;0;0;0;509;514;0;509;38;11
3;0;0;0;0;505;513;0;509;38;11
4;0;0;0;0;505;512;0;510;38;11
5;0;0;0;0;507;511;0;510;38;11
6;0;0;0;0;502;512;0;511;38;11
7;0;0;0;0;505;512;0;513;38;11
8;0;0;0;0;506;511;0;513;38;11
9;0;0;0;0;508;511;0;511;38;11
10;0;0;0;0;513;511;0;509;38;11
11;0;0;0;0;510;511;0;510;38;11
12;0;0;0;0;508;511;0;509;38;11
