nSeq,I1,I2,O1,O2,A1,A1_filtrado,A1_normalizado
0,0,0,0,0,507,507,-0.027096139374670154
1,0,0,0,0,509,508,0.055141170789703355
2,0,0,0,0,508,508,0.055141170789703355
3,0,0,0,0,508,508,0.055141170789703355
4,0,0,0,0,508,508,0.055141170789703355
5,0,0,0,0,509,509,0.13737848095407687
6,0,0,0,0,509,509,0.13737848095407687
7,0,0,0,0,513,511,0.3018531012828239
8,0,0,0,0,511,511,0.3018531012828239
9,0,0,0,0,507,508,0.055141170789703355
10,0,0,0,0,508,508,0.055141170789703355
11,0,0,0,0,509,508,0.055141170789703355
12,0,0,0,0,508,509,0.13737848095407687
13,0,0,0,0,512,512,0.3840904114471974
14,0,0,0,0,512,512,0.3840904114471974
15,0,0,0,0,507,507,-0.027096139374670154
0,0,0,0,0,505,506,-0.10933344953904367
1,0,0,0,0,506,506,-0.10933344953904367
2,0,0,0,0,508,508,0.055141170789703355
3,0,0,0,0,509,509,0.13737848095407687
4,0,0,0,0,510,509,0.13737848095407687
5,0,0,0,0,509,509,0.13737848095407687
6,0,0,0,0,505,509,0.13737848095407687
7,0,0,0,0,509,508,0.055141170789703355
8,0,0,0,0,508,508,0.055141170789703355
9,0,0,0,0,508,508,0.055141170789703355
10,0,0,0,0,506,506,-0.10933344953904367
11,0,0,0,0,505,505,-0.19157075970341716
12,0,0,0,0,504,505,-0.19157075970341716
13,0,0,0,0,505,505,-0.19157075970341716
14,0,0,0,0,506,506,-0.10933344953904367
15,0,0,0,0,506,506,-0.10933344953904367
0,0,0,0,0,509,508,0.055141170789703355
1,0,0,0,0,508,508,0.055141170789703355
2,0,0,0,0,508,508,0.055141170789703355
3,0,0,0,0,510,509,0.13737848095407687
4,0,0,0,0,509,509,0.13737848095407687
5,0,0,0,0,507,508,0.055141170789703355
6,0,0,0,0,508,507,-0.027096139374670154
7,0,0,0,0,506,508,0.055141170789703355
8,0,0,0,0,508,507,-0.027096139374670154
9,0,0,0,0,507,508,0.055141170789703355
10,0,0,0,0,508,508,0.055141170789703355
11,0,0,0,0,508,508,0.055141170789703355
12,0,0,0,0,508,508,0.055141170789703355
13,0,0,0,0,510,508,0.055141170789703355
14,0,0,0,0,508,508,0.055141170789703355
15,0,0,0,0,506,506,-0.10933344953904367
0,0,0,0,0,505,505,-0.19157075970341716
1,0,0,0,0,504,505,-0.19157075970341716
2,0,0,0,0,505,505,-0.19157075970341716
3,0,0,0,0,506,506,-0.10933344953904367
4,0,0,0,0,507,507,-0.027096139374670154
5,0,0,0,0,507,507,-0.027096139374670154
6,0,0,0,0,506,506,-0.10933344953904367
7,0,0,0,0,506,506,-0.10933344953904367
8,0,0,0,0,504,505,-0.19157075970341716
9,0,0,0,0,505,505,-0.19157075970341716
10,0,0,0,0,505,505,-0.19157075970341716
11,0,0,0,0,508,508,0.055141170789703355
12,0,0,0,0,508,508,0.055141170789703355
13,0,0,0,0,509,509,0.13737848095407687
14,0,0,0,0,510,510,0.21961579111845037
15,0,0,0,0,511,510,0.21961579111845037
0,0,0,0,0,509,509,0.13737848095407687
1,0,0,0,0,509,509,0.13737848095407687
2,0,0,0,0,507,507,-0.027096139374670154
3,0,0,0,0,506,507,-0.027096139374670154
4,0,0,0,0,508,508,0.055141170789703355
5,0,0,0,0,509,508,0.055141170789703355
6,0,0,0,0,508,508,0.055141170789703355
7,0,0,0,0,504,508,0.055141170789703355
8,0,0,0,0,509,509,0.13737848095407687
9,0,0,0,0,509,509,0.13737848095407687
10,0,0,0,0,509,509,0.13737848095407687
11,0,0,0,0,508,508,0.055141170789703355
12,0,0,0,0,505,507,-0.027096139374670154
13,0,0,0,0,507,505,-0.19157075970341716
14,0,0,0,0,505,506,-0.10933344953904367
15,0,0,0,0,506,506,-0.10933344953904367
0,0,0,0,0,508,508,0.055141170789703355
1,0,0,0,0,508,508,0.055141170789703355
2,0,0,0,0,505,505,-0.19157075970341716
3,0,0,0,0,504,505,-0.19157075970341716
4,0,0,0,0,507,505,-0.19157075970341716
5,0,0,0,0,505,505,-0.19157075970341716
6,0,0,0,0,505,505,-0.19157075970341716
7,0,0,0,0,506,505,-0.19157075970341716
